Time (s),z3_pro_1,z3_pro_2,z3_pro_3,z4_pro_1,z4_pro_2,z4_pro_3,z3_none_1,z3_none_2,z3_none_3,z4_none_1,z4_none_2,z4_none_3
40497s,0.89524,0.89017,0.87228,0.90727,0.914,0.89065,0.93886,0.84161,0.90717,0.93263,0.90977,0.88867
40797s,0.90676,0.89908,0.88095,0.91403,0.92344,0.89869,0.94489,0.84708,0.91027,0.93207,0.91122,0.89087
41097s,0.91392,0.90567,0.89405,0.92399,0.93156,0.90569,0.95703,0.85692,0.91777,0.94198,0.92248,0.9062
41397s,0.91983,0.91639,0.89904,0.93225,0.94057,0.9157,0.96618,0.86984,0.93352,0.95947,0.93933,0.91893
41697s,0.9312,0.9252,0.91028,0.94236,0.95106,0.92763,0.97302,0.87428,0.93166,0.95861,0.93654,0.92017
41997s,0.94414,0.93825,0.91925,0.95023,0.96241,0.93517,0.98204,0.88921,0.95046,0.97402,0.95603,0.93666
42297s,0.95148,0.94297,0.92681,0.9634,0.97112,0.94283,0.99142,0.89373,0.95762,0.97786,0.9603,0.94005
42597s,0.96057,0.95199,0.93565,0.96968,0.97858,0.9532,0.99679,0.9024,0.9651,0.99101,0.97472,0.95655
42897s,0.96616,0.95966,0.94398,0.97499,0.98464,0.95927,1.0072,0.914,0.97931,0.99894,0.98345,0.96115
43197s,0.97028,0.96382,0.94887,0.98222,0.99192,0.96733,1.0166,0.9209,0.98651,1.007,0.99128,0.97313
43497s,0.98183,0.97589,0.96175,0.99357,1.0028,0.97449,1.023,0.92811,0.99049,1.0117,0.99413,0.97322
43797s,0.99233,0.98245,0.96737,1.0004,1.0058,0.98354,1.0297,0.93813,1.0016,1.0245,1.0045,0.98665
44097s,0.99697,0.99026,0.97416,1.0058,1.0157,0.99155,1.0409,0.94536,1.0088,1.0314,1.0137,0.99592
44397s,1.0068,0.99852,0.98471,1.012,1.0214,0.99937,1.0436,0.95112,1.0148,1.0344,1.0137,0.9953
44697s,1.0101,1.0036,0.98872,1.0194,1.0279,1.0042,1.0532,0.95868,1.0249,1.0435,1.0223,1.0031
44997s,1.0213,1.0112,0.99865,1.028,1.038,1.0141,1.0606,0.97025,1.0294,1.0476,1.0296,1.0132
45297s,1.0256,1.0187,1.0051,1.034,1.0462,1.0213,1.0643,0.97705,1.0406,1.0581,1.0421,1.0232
45597s,1.034,1.0283,1.014,1.0403,1.0522,1.0303,1.072,0.98084,1.042,1.058,1.0372,1.0208
45897s,1.0399,1.0314,1.019,1.0448,1.0586,1.0344,1.0798,0.99209,1.0533,1.0667,1.0492,1.031
46197s,1.0468,1.0415,1.0266,1.0555,1.0672,1.0433,1.0864,0.99824,1.0609,1.0772,1.0568,1.037
46497s,1.0542,1.0435,1.0343,1.0571,1.0713,1.0489,1.0946,1.0065,1.067,1.0807,1.0606,1.0442
46797s,1.057,1.0512,1.0394,1.0637,1.0767,1.0525,1.0962,1.0096,1.0721,1.0832,1.0668,1.0501
47097s,1.064,1.0579,1.0439,1.0684,1.0828,1.0601,1.102,1.0176,1.0767,1.0944,1.0804,1.0656
47397s,1.0692,1.0641,1.0505,1.0746,1.086,1.0602,1.1088,1.0245,1.0803,1.095,1.0758,1.0601
47697s,1.0745,1.069,1.0576,1.081,1.0922,1.0699,1.1153,1.0333,1.0879,1.1021,1.0894,1.0723
47997s,1.0832,1.0765,1.0636,1.0892,1.0975,1.0746,1.122,1.0395,1.0962,1.1102,1.0895,1.0726
48297s,1.0918,1.0839,1.0714,1.0959,1.1067,1.0853,1.1226,1.0436,1.0953,1.1057,1.091,1.0755
48597s,1.0955,1.0882,1.075,1.0991,1.1109,1.0862,1.1317,1.0492,1.1057,1.115,1.0983,1.0817
48897s,1.0984,1.0905,1.0809,1.1041,1.1158,1.0932,1.1391,1.0566,1.1139,1.1252,1.1105,1.0962
49197s,1.1028,1.0979,1.0868,1.11,1.1225,1.0986,1.1408,1.0618,1.1169,1.1272,1.1132,1.0973
49497s,1.1059,1.1018,1.0908,1.1148,1.1234,1.103,1.1489,1.0707,1.1246,1.1376,1.1236,1.1056
49796s,1.1159,1.1072,1.0971,1.1185,1.1292,1.1066,1.1501,1.074,1.1241,1.132,1.1172,1.1027
50096s,1.1209,1.1137,1.1058,1.123,1.1366,1.1141,1.156,1.0802,1.1326,1.1406,1.1249,1.1077
50396s,1.1245,1.1166,1.1098,1.1294,1.1398,1.1194,1.1634,1.0892,1.1412,1.1492,1.1354,1.118
50696s,1.129,1.1231,1.1138,1.1328,1.1442,1.1242,1.1686,1.0904,1.1451,1.1536,1.1369,1.1192
50996s,1.1354,1.1281,1.1221,1.1382,1.15,1.1285,1.1722,1.1006,1.1504,1.159,1.1433,1.1265
51296s,1.1372,1.1323,1.1209,1.1399,1.1522,1.1318,1.1743,1.1024,1.154,1.163,1.1489,1.1312
51596s,1.1415,1.1367,1.1296,1.1453,1.1587,1.1387,1.1795,1.108,1.1567,1.164,1.1508,1.1355
51896s,1.1473,1.1437,1.131,1.1513,1.1618,1.1419,1.1835,1.1094,1.1598,1.1608,1.1473,1.1324
52196s,1.1519,1.1425,1.1355,1.1561,1.167,1.1456,1.1879,1.1165,1.1677,1.1732,1.1625,1.1453
52496s,1.1552,1.1502,1.1401,1.1578,1.1679,1.1499,1.1918,1.1235,1.1712,1.1769,1.1633,1.1486
52796s,1.1618,1.1561,1.1457,1.1624,1.1749,1.1542,1.1963,1.1281,1.1749,1.1802,1.1662,1.1514
53096s,1.164,1.1581,1.1513,1.1674,1.1783,1.1593,1.1984,1.131,1.1768,1.1821,1.1653,1.152
53396s,1.1668,1.1608,1.1524,1.1694,1.1806,1.1599,1.2025,1.1353,1.1855,1.1897,1.1702,1.1535
53696s,1.1734,1.1678,1.1583,1.1751,1.1847,1.1631,1.2063,1.1395,1.1858,1.188,1.172,1.1575
53996s,1.1734,1.1687,1.1611,1.1764,1.1882,1.1636,1.2122,1.1447,1.1913,1.199,1.1856,1.1697
54296s,1.1806,1.175,1.1668,1.1801,1.1946,1.1719,1.2144,1.1478,1.1924,1.1944,1.1755,1.1641
54596s,1.1837,1.1781,1.1708,1.1856,1.1958,1.1753,1.2187,1.1523,1.198,1.2029,1.1905,1.1772
